,ValueType,value,Iteration,Variable,Model,Dataset,DataType
2,accuracy,0.6308092948717949,2,10%,Active_Uncertainty,german,numeric
3,accuracy,0.6737372579101787,3,10%,Active_Uncertainty,german,numeric
4,accuracy,0.6591634172279334,4,10%,Active_Uncertainty,german,numeric
5,accuracy,0.5384615384615384,5,10%,Active_Uncertainty,german,numeric
6,accuracy,0.6371187874774675,6,10%,Active_Uncertainty,german,numeric
7,accuracy,0.6931189337968999,7,10%,Active_Uncertainty,german,numeric
8,accuracy,0.6275153105861767,8,10%,Active_Uncertainty,german,numeric
9,accuracy,0.6291208791208791,9,10%,Active_Uncertainty,german,numeric
10,time,4.001268148422241,0,10%,Active_Uncertainty,german,numeric
11,time,3.898411512374878,1,10%,Active_Uncertainty,german,numeric
12,time,3.9595582485198975,2,10%,Active_Uncertainty,german,numeric
13,time,3.949762105941773,3,10%,Active_Uncertainty,german,numeric
14,time,3.973614931106568,4,10%,Active_Uncertainty,german,numeric
15,time,3.925079822540283,5,10%,Active_Uncertainty,german,numeric
16,time,3.8124570846557617,6,10%,Active_Uncertainty,german,numeric
17,time,4.00443696975708,7,10%,Active_Uncertainty,german,numeric
18,time,4.218618631362915,8,10%,Active_Uncertainty,german,numeric
19,time,4.1960675716400155,9,10%,Active_Uncertainty,german,numeric
20,accuracy,0.5455284966190452,0,50%,Active_Uncertainty,german,numeric
21,accuracy,0.5855805764062645,1,50%,Active_Uncertainty,german,numeric
22,accuracy,0.6668674698795181,2,50%,Active_Uncertainty,german,numeric
23,accuracy,0.675845202780734,3,50%,Active_Uncertainty,german,numeric
24,accuracy,0.6304058844381424,4,50%,Active_Uncertainty,german,numeric
25,accuracy,0.6635817307692308,5,50%,Active_Uncertainty,german,numeric
26,accuracy,0.6585151489731642,6,50%,Active_Uncertainty,german,numeric
27,accuracy,0.6131559280414242,7,50%,Active_Uncertainty,german,numeric
28,accuracy,0.7427922954238745,8,50%,Active_Uncertainty,german,numeric
29,accuracy,0.6508968131105536,9,50%,Active_Uncertainty,german,numeric
30,time,4.8279290199279785,0,50%,Active_Uncertainty,german,numeric
31,time,4.813547849655151,1,50%,Active_Uncertainty,german,numeric
32,time,4.833348274230957,2,50%,Active_Uncertainty,german,numeric
33,time,4.803904056549072,3,50%,Active_Uncertainty,german,numeric
34,time,4.823939323425293,4,50%,Active_Uncertainty,german,numeric
35,time,4.662534952163696,5,50%,Active_Uncertainty,german,numeric
36,time,4.587677478790283,6,50%,Active_Uncertainty,german,numeric
